id,quran_ayas_id,quran_ayas_languages_code,number,text
ENAA1194,QA1194,ENAA,1194,"But what is there so special they have that God should not punish them when they obstruct people from the Holy Mosque, though they are not its (appointed) guardians? Its guardians could be only those who are pious and devout. But most of them do not know."
ENAA1195,QA1195,ENAA,1195,Their worship in the House of God has been no more than whistling and clapping. So they have to taste the punishment for disbelief.
ENAA1196,QA1196,ENAA,1196,"Those who disbelieve spend their possessions on turning men away from God. They will go on spending and rue it in the end, and will be subdued. But those who remain disbelievers shall be gathered into Hell"
ENAA1197,QA1197,ENAA,1197,"That God may separate the bad from the good, and link the wicked together and cast them into Hell. These are verily the people who will lose."
ENAA1198,QA1198,ENAA,1198,"You tell the unbelievers in case they desist whatever has happened will be forgiven them. If they persist, they should remember the fate of those who have gone before them."
ENAA1199,QA1199,ENAA,1199,"So, fight them till all opposition ends, and obedience is wholly God's. If they desist then verily God sees all they do."
ENAA1200,QA1200,ENAA,1200,"But if they are obstinate, know that God is your helper and protector: How excellent a helper, and how excellent a protector is He!"
ENAA1201,QA1201,ENAA,1201,"Know that one-fifth of what you acquire as booty (of war) is for God and His Apostle, and for relatives and orphans, the poor and wayfarers, if you truly believe in God and what We revealed to Our votary on the day of victory over the infidels when the two armies clashed (at Badr). For God has the power to do any thing."
ENAA1202,QA1202,ENAA,1202,"(That day) when you were at one end of the valley, (the unbelievers) at the other, and the caravan below you (on the lowland by the coast), you would surely have declined to fight if (the Makkans) had offered you battle. (But the battle did take place) that God may end the matter which had been accomplished, so that he who had to die may perish after a clear demonstration, and he who had to live may survive in the light of positive proof, for God hears all and knows everything."
ENAA1203,QA1203,ENAA,1203,"God showed (the Makkans) to be few in your dream, for if He had shown them to be many you would surely have lost courage and disagreed about the (wisdom) of the battle. But God spared you this, for He surely knows what is in the hearts of men."
ENAA1204,QA1204,ENAA,1204,"When you faced them He made (the enemy) seem few to you in numbers, and made you appear fewer in their eyes, (it was) so that God could accomplish what had been decreed; for all things rest with God."
ENAA1205,QA1205,ENAA,1205,"O believers, when you meet an army, stand firm, and think of God a great deal that you may be blessed with success."
ENAA1206,QA1206,ENAA,1206,"Obey God and His Apostle, and do not disagree among yourselves or you will be unmanned and lose courage. Persevere, for God is with those who endure."
ENAA1207,QA1207,ENAA,1207,"Do not be like those who went out of their homes full of their own importance, ostentatiously, trying to hinder others from the way of God. But God encompasses all they do."
ENAA1208,QA1208,ENAA,1208,"Satan made their deeds look alluring to them, and said: ""None will prevail over you this day, for I shall be near at hand."" Yet when the two armies appeared face to face, he turned back and fled, saying: ""I am not with you, for I can see what you cannot perceive. I fear God, for His punishment is severe."""
ENAA1209,QA1209,ENAA,1209,"The hypocrites, and those who had doubts in their hearts, said: ""Their faith has misled them."" But whoever places his trust in God will find God mighty and wise."
ENAA1210,QA1210,ENAA,1210,"If you could only see the infidels as the angels draw away their souls and strike their faces and their backs, (saying): ""Taste the torment of burning"
ENAA1211,QA1211,ENAA,1211,"For what you have brought upon yourselves."" God is surely not unjust to His creatures, (they are unjust to themselves)."
ENAA1212,QA1212,ENAA,1212,"Their case is like that of Pharaoh's people, and of those before them, who denied the revelations of God, and were punished for their sins by God, and God is all powerful and Severe His punishment."
ENAA1213,QA1213,ENAA,1213,"God does not withdraw a favour bestowed upon a people unless they change themselves, for God hears all and knows everything."
ENAA1214,QA1214,ENAA,1214,"This was the case with the people of Pharaoh and those before them, who rejected the signs of their Lord and were destroyed for their sins, and We drowned the people of Pharaoh as they were oppressors."
ENAA1215,QA1215,ENAA,1215,"Verily the worst of creatures in the sight of God are those who deny (the truth), and will not believe."
ENAA1216,QA1216,ENAA,1216,"As for those with whom you have made a treaty and who abrogate it every time, and do not fear God,"
ENAA1217,QA1217,ENAA,1217,"If you meet them in battle, inflict on them such a defeat as would be a lesson for those who come after them, and that they may be warned."
ENAA1218,QA1218,ENAA,1218,"If you apprehend treachery from a people (with whom you have a treaty), retaliate by breaking off (relations) with them, for God does not like those who are treacherous."
ENAA1219,QA1219,ENAA,1219,The infidels should not think that they can bypass (the law of God). Surely they cannot get away.
ENAA1220,QA1220,ENAA,1220,"Prepare against them whatever arms and cavalry you can muster, that you may strike terror in (the hearts of) the enemies of God and your own, and others besides them not known to you, but known to God. Whatever you spend in the way of God will be paid back to you in full, and no wrong will be done to you."
ENAA1221,QA1221,ENAA,1221,"But if they are inclined to peace, make peace with them, and have trust in God, for He hears all and knows everything."
ENAA1222,QA1222,ENAA,1222,"If they try to cheat you, God is surely sufficient for you. It is He who has strengthened you with His help and with believers"
ENAA1223,QA1223,ENAA,1223,"Whose hearts He cemented with love. You could never have united their hearts even if you had spent whatever (wealth) is in the earth; but God united them with love, for He is all-mighty and all-wise."
ENAA1224,QA1224,ENAA,1224,"God is sufficient for you, O Prophet, and the faithful who follow you."
ENAA1225,QA1225,ENAA,1225,"O Prophet, urge the faithful to fight. If there are twenty among you with determination they will vanquish two hundred; and if there are a hundred then they will vanquish a thousand unbelievers, for they are people devoid of understanding."
ENAA1226,QA1226,ENAA,1226,"God has lightened your burden as He knows you are weak: So, if there are a hundred men of firm determination among you, they will vanquish two hundred; and if there are a thousand of you they will vanquish two thousand by the will of God, for God is with those who are determined."
ENAA1227,QA1227,ENAA,1227,"No apostle should take captives until he has battled and subdued the country. You desire the vanities of this world, but God wills (for you the reward) of the world to come; and God is all-mighty and all-wise."
ENAA1228,QA1228,ENAA,1228,"Had this not been decreed by God in advance, you would have suffered a grievous punishment for what you took (as booty)."
ENAA1229,QA1229,ENAA,1229,"But now use such of the spoils as are lawful and good, and fear God, for God is forgiving and kind."
ENAA1230,QA1230,ENAA,1230,"O Prophet, tell the captives you have taken: ""If God finds some good in your hearts, He will reward you with something better than was taken away from you, and forgive your sins, for God is forgiving and kind."""
ENAA1231,QA1231,ENAA,1231,"If they try to deceive you, remember they have deceived God before. So He gave you mastery over them, for God is all-knowing and all-wise."
ENAA1232,QA1232,ENAA,1232,"Those who accepted the faith and set out of their homes, and fought in the way of God wealth and soul, and those who gave them shelter and helped them, are friends of one another. You are not responsible for protecting those who embraced the faith but did not leave their homes, until they do so. In ease they ask for your help in the name of faith, you are duty bound to help them, except against a people with whom you have a treaty; for God sees all that you do."
ENAA1233,QA1233,ENAA,1233,Those who are infidels aid one another. Unless you do the same there will be discord in the land and anarchy.
ENAA1234,QA1234,ENAA,1234,"Those who accepted the faith and abandoned their homes, and struggled in the cause of God, and those who gave them shelter and helped them, are veritably true believers. For them is forgiveness and noble sustenance."
ENAA1235,QA1235,ENAA,1235,"Those who accepted the faith and left their homes and fought by your side, are your brothers; yet those who are related by blood are closer to one another according to the decree of God. Verily God knows everything."
ENAA1236,QA1236,ENAA,1236,IMMUNITY is granted those idolaters by God and his Apostle with whom you have a treaty.
ENAA1237,QA1237,ENAA,1237,"(They can) move about for four months freely in the land, but should know they cannot escape (the law of) God, and that God can put the unbelievers to shame."
ENAA1238,QA1238,ENAA,1238,"A general proclamation is (made) this day of the Greater Pilgrimage on the part of God and His Apostle, that God is not bound (by any contract) to idolaters, nor is His Apostle. It is, therefore, better for you to repent. If you do not, remember that you cannot elude (the grip of) God. So announce to those who deny the truth the news of painful punishment,"
ENAA1239,QA1239,ENAA,1239,"Except those idolaters with whom you have a treaty, who have not failed you in the least, nor helped anyone against you. Fulfil your obligations to them during the term (of the treaty). God loves those who take heed for themselves."
ENAA1240,QA1240,ENAA,1240,"But when these months, prohibited (for fighting), are over, slay the idolaters wheresoever you find them, and take them captive or besiege them, and lie in wait for them at every likely place. But if they repent and fulfil their devotional obligations and pay the zakat, then let them go their way, for God is forgiving and kind."
ENAA1241,QA1241,ENAA,1241,"If an idolater seeks protection, then give him asylum that he may hear the word of God. Then escort him to a place of safety, for they are people who do not know."
ENAA1242,QA1242,ENAA,1242,"How could there be a treaty between idolaters and God and His Apostle, except those you covenanted by the Sacred Mosque? Therefore as long as they are honest with you be correct with them, for God loves those who are godly."
ENAA1243,QA1243,ENAA,1243,"How (can they be trusted)? If they prevail against you they will neither observe pacts nor good faith with you. They flatter you with their tongues, but their hearts are averse to you, for most of them are iniquitous."
ENAA1244,QA1244,ENAA,1244,"They barter away the words of God for a petty price, and obstruct (others) from His path. How evil indeed are the things they do!"
ENAA1245,QA1245,ENAA,1245,"They have no regard for kinship or treaties with believers, for they are transgressors."
ENAA1246,QA1246,ENAA,1246,"But if they repent and are firm in devotion and pay the zakat, then they are your brothers in faith. We explain Our commands distinctly for those who understand."
ENAA1247,QA1247,ENAA,1247,"If they break their pledge after giving their word and revile your faith, fight these specimens of faithlessness, for surely their oaths have no sanctity: They may haply desist."
ENAA1248,QA1248,ENAA,1248,"Will you not fight those who broke their pledge and plotted to banish the Apostle, and who were the first to attack you? Are you afraid of them? If you are believers you should fear God more."
ENAA1249,QA1249,ENAA,1249,"Fight them so that God may punish them at your hands, and put them to shame, and help you against them, and heal the wounds of the hearts of believers,"
ENAA1250,QA1250,ENAA,1250,And remove the anger from their breasts; for God turns to whosoever desires. God is all-knowing and all-wise.
ENAA1251,QA1251,ENAA,1251,"Do you think you will get away before God knows who among you fought and did not take anyone but God, His Apostle and the faithful, as their friends? God is cognisant of all that you do."
ENAA1252,QA1252,ENAA,1252,"The idolaters have no right to visit the mosques of God while bearing testimony to their disbelief. Meaningless will be their acts, and in Hell they will bide for ever,"
ENAA1253,QA1253,ENAA,1253,"Only those who believe in God and the Last Day, who fulfil their devotional obligations, pay the zakat, and fear no one but God, can visit the mosques of God. They may hope to be among the guided."
ENAA1254,QA1254,ENAA,1254,"Do you think that giving a drink of water to the pilgrims and going on a visit to the Sacred Mosque, is the same as believing in God and the Last Day, and striving in the cause of God? In the eyes of God it is not the same; and God does not show the unrighteous the way."
ENAA1255,QA1255,ENAA,1255,"Those who accepted the faith and left their homes and fought in the way of God, wealth and soul, have a greater reward with God, and will be successful."
ENAA1256,QA1256,ENAA,1256,"Their Lord announces to them news of His mercy, acceptance, and gardens of lasting bliss"
ENAA1257,QA1257,ENAA,1257,Which they will enjoy for ever. Indeed God has greater rewards with Him.
ENAA1258,QA1258,ENAA,1258,"O you who believe, do not hold your fathers and brothers as friends if they hold disbelief more dear than faith; and those of you who do so are iniquitous."
ENAA1259,QA1259,ENAA,1259,"You tell them: ""If your fathers and sons, your brothers and wives and families and wealth, or the business you fear may fail, and the mansions that you love, are dearer to you than God, His Apostle, and struggling in His cause, then wait until God's command arrives, for God does not show transgressors the way."""
ENAA1260,QA1260,ENAA,1260,"Indeed God has helped you on many occasions, even during the battle of Hunain, when you were elated with joy at your numbers which did not prove of the least avail, so that the earth and its vast expanse became too narrow for you, and you turned back and retreated."
ENAA1261,QA1261,ENAA,1261,Then God sent down a sense of tranquility on His Apostle and the faithful; and sent down troops invisible to punish the infidels. This is the recompense of those who do not believe.
ENAA1262,QA1262,ENAA,1262,"Yet God may turn (even) after this to whomsoever He please, for God is compassionate and kind."
ENAA1263,QA1263,ENAA,1263,"O believers, the idolaters are unclean. So they should not approach the Holy Mosque after this year. In case you fear indigence (from the stoppage of business with them), then God will enrich you of His bounty if He will, for God is all-knowing and all-wise."
ENAA1264,QA1264,ENAA,1264,"Fight those people of the Book who do not believe in God and the Last Day, who do not prohibit what God and His Apostle have forbidden, nor accept divine law, until all of them pay protective tax in submission."
ENAA1265,QA1265,ENAA,1265,"The Jews say: ""Ezra is the son of God;"" the Christians say: ""Christ is the son of God."" That is what they say with their tongues following assertions made by unbelievers before them. May they be damned by God: How perverse are they!"
ENAA1266,QA1266,ENAA,1266,"They consider their rabbis and monks and the Christ, son of Mary, to be gods apart from God, even though they had been enjoined to worship only one God, for there is no god but He. Too holy is He for what they ascribe to Him!"
ENAA1267,QA1267,ENAA,1267,"They wish to extinguish the light of God by uttering blasphemies; but God will not have it so, for He wills to perfect His light, however the unbelievers be averse."
ENAA1268,QA1268,ENAA,1268,"It is He who sent His Messenger with guidance and the true faith in order to make it superior to other systems of belief, even though the idolaters may not like it."
ENAA1269,QA1269,ENAA,1269,"O believers, many rabbis and priests devour the possessions of others wrongfully, and keep men away from the path of God. To those who accumulate gold and silver, and do not spend in the way of God, announce the news of painful punishment."
ENAA1270,QA1270,ENAA,1270,"On the day We shall heat up (their gold) on the fire of Hell and brand their foreheads, sides and backs (and say to them): ""It is this you stored up for yourselves; so now taste of what you had stored!"""
ENAA1271,QA1271,ENAA,1271,"The number of months with God is twelve in accordance with God's law since the day He created the heavens and the earth. Of these four are holy. This is the straight reckoning. So do not exceed yourselves during them; but fight the idolaters to the end as they fight you in like manner; and remember, God is with those Who preserve themselves from evil and do the right."
ENAA1272,QA1272,ENAA,1272,"Intercalating a month is adding to unbelief. The unbelievers are misguided by this, for they take the same month to be sacred one year and sacrilegious the next, thus making the number of months sanctified by God accord with theirs in order to make what God has forbidden, lawful. Attractive seem to them their evil deeds; but God does not show the unbelievers the way."
ENAA1273,QA1273,ENAA,1273,"What has happened to you, O believers, that when you are asked to set out in the cause of God your feet begin to drag? Do you find the life of the world so pleasing that you forget the life to come? Yet the profit of the life of this world is but meagre as compared to the life to come."
ENAA1274,QA1274,ENAA,1274,"Unless you go out (to strive), God will inflict grievous punishment on you, and bring other people in your place, and you will not be able to harm Him in the least, for God has the power over all things."
ENAA1275,QA1275,ENAA,1275,"If you do not help (the Prophet, remember) God had helped him when the infidels had forced him to leave (and he was) one of two. When both of them were in the cave, he said to his companion: ""Do not grieve, for God is with us."" Then God sent divine peace on him, and invisible armies for his help, and made the unbelievers' purpose abject. Most exalted is God's word, for God is all-mighty and all-wise."
ENAA1276,QA1276,ENAA,1276,"O believers, go out in the cause of God, (whether) light or heavy, and strive in the service of God, wealth and soul. This is better for you if you understand."
ENAA1277,QA1277,ENAA,1277,"(O Prophet), had the gain been close at hand, and easy the journey, they would surely have followed you; but hard was the journey and long the going. Even then they swear by God (and say): ""If we had the strength we would surely have gone out with you."" They are only ruining themselves, for God is aware they lie."
ENAA1278,QA1278,ENAA,1278,May God forgive you. Why did you allow them (to stay behind) without ascertaining who spoke the truth and who were liars?
ENAA1279,QA1279,ENAA,1279,"Those who believe in God and the Last Day, do not ask your leave to be excused from fighting wealth and soul (in the cause of God), for God knows the pious and devout."
ENAA1280,QA1280,ENAA,1280,"Only they ask (for leave) who do not believe in God and the Last Day, whose hearts are full of doubt; and doubting they waver (between gain and loss)."
ENAA1281,QA1281,ENAA,1281,"If they had intended to go out (to fight) they would surely have made preparations. But God did not like their setting forth, and they were held back and told: ""Stay at home with those who stay behind."""
ENAA1282,QA1282,ENAA,1282,"Had they gone out with you, they would only have been a hindrance and let loose confusion among you to create discord; for there are some in your midst who spy for them. But God knows who are the wicked."
ENAA1283,QA1283,ENAA,1283,"They had tried to create disorder before and intrigued against you, but truth came out in the end and God's will prevailed, even though they did not like it."
ENAA1284,QA1284,ENAA,1284,"And (many a one) there is among them who says: ""Allow me (to stay back at home), and put me not on trial."" Surely they have put themselves on trial already, and Hell will enclose the unbelievers from all sides."
ENAA1285,QA1285,ENAA,1285,"If good comes your way they are vexed, but if calamity befalls you, they say: ""We had taken precautions in advance;"" and pleased, turn away."
ENAA1286,QA1286,ENAA,1286,"Tell them: ""Nothing can befall us except what God decrees. Our protector is He, and in God should the faithful place their trust."""
ENAA1287,QA1287,ENAA,1287,"Say: ""Are you waiting for anything else but one of two good things for us, (victory or martyrdom)? Yet what we are waiting for you is the punishment of God, direct or through us. So keep waiting; we are waiting with you."""
ENAA1288,QA1288,ENAA,1288,"Tell them: ""You may spend (in the way of God), whether willingly or with reluctance, it will not be accepted from you, for you are reprobates."""
ENAA1289,QA1289,ENAA,1289,"Nothing prevents the acceptance of what they spend except that they do not believe in God and His Apostle, and come to worship but languidly and spend only grudgingly."
ENAA1290,QA1290,ENAA,1290,Do not marvel at their wealth and children. God intends to punish them through these in the world; and their souls will depart in a state of disbelief.
ENAA1291,QA1291,ENAA,1291,"They swear by God they are with you, though in fact they are not. They are only a frightened lot."
ENAA1292,QA1292,ENAA,1292,"If they find a place of shelter or a cave or hole to hide, they will turn to it."
ENAA1293,QA1293,ENAA,1293,"There are some among them who blame you (of partiality) in distributing the offerings made in the name of God. In case they receive some of these they are pleased, if not, they are incensed."
ENAA1294,QA1294,ENAA,1294,"They should rather have been pleased with what God and His Prophet had given them, and said: ""God is sufficient for us; He will give us of His largesse as will His Apostle. We supplicate no one but God."""
ENAA1295,QA1295,ENAA,1295,"Charities are meant for the indigent and needy, and those who collect and distribute them, and those whom you wish to win over, and for redeeming slaves (and captives) and those who are burdened with debt, and in the cause of God, and the wayfarers: So does God ordain. God is all-knowing and all-wise."
ENAA1296,QA1296,ENAA,1296,"There are some among them who talk ill of the Prophet by saying: ""He listens to everyone."" Tell them: ""He listens for your good, and trusts in God and trusts the faithful, and he is a blessing for those who believe. For those who offend the Apostle of God there is painful punishment."""
ENAA1297,QA1297,ENAA,1297,They swear by God to please you; but if they are believers it would have been worthier to have pleased God and His Apostle.
ENAA1298,QA1298,ENAA,1298,"Have they not realised that anyone who opposes God and His Prophet, will abide in Hell for ever? And that is the worst disgrace."
ENAA1299,QA1299,ENAA,1299,"The hypocrites fear lest a Surah is revealed concerning them, exposing what is in their hearts. Say to them: ""Mock as much as you like; God will surely expose what you dread."""
ENAA1300,QA1300,ENAA,1300,"But if you ask them, they will say: ""We were only gossiping and jesting."" You ask them: ""Were you jesting with God, His revelations and His messengers?"""
ENAA1301,QA1301,ENAA,1301,"Do not make excuses: You turned unbelievers after having come to faith. If We pardon a section of you (for being frivolous), We shall punish the other for being guilty (of deliberate sin)."
ENAA1302,QA1302,ENAA,1302,"The hypocrites (are the same) whether men or women, the one of them being of the other. They encourage what is bad and dissuade from the good, and tighten their purses (when it comes to spending in the way of God). Of God they are oblivious; so He is oblivious of them. The hypocrites are indeed transgressors."
ENAA1303,QA1303,ENAA,1303,"God has reserved for hypocrites, whether men or women, and for unbelievers, the fire of Hell, where they will abide for ever. This is sufficient for them: They have God's condemnation and lasting torment,"
ENAA1304,QA1304,ENAA,1304,"Like those before you who were greater in strength, had more wealth and children than you, who enjoyed their lot in this world, as you have enjoyed your share like them. You indulge in idle talk, as they had indulged in vain discourse. Yet nothing of what they did remains in this world or will in the next, and they are the losers."
ENAA1305,QA1305,ENAA,1305,"Has not the account of those before them come to them, -- of the people of Noah and 'Ad and Thamud, of Abraham and Midian, and all the habitations that were destroyed? Their apostles had come to them with clear proofs; and God did not surely wrong them, they wronged themselves."
ENAA1306,QA1306,ENAA,1306,"Those who believe, men and women, befriend one another, and enjoin what is right and prohibit what is wrong. They observe their devotional obligations, pay the zakat, and obey God and His Apostle. God will be merciful to them, for God is all-mighty and all-wise."
ENAA1307,QA1307,ENAA,1307,"God has promised men and women who believe gardens with streams of running water where they will abide for ever, and beautiful mansions in the Garden of Eden, and the blessings of God above all. That will be happiness supreme."
ENAA1308,QA1308,ENAA,1308,"Strive, O Prophet, against the unbelievers and the hypocrites, and deal with them firmly. Their final abode is Hell: And what a wretched destination!"
ENAA1309,QA1309,ENAA,1309,"They swear by God: ""We never said this."" But they surely said words disbelieving the truth, and they turned unbelievers after having come to faith, and designed what they could not accomplish. They did it only out of vengeance for God and His Apostle had enriched them by their grace. So, if they repent it is better for them. If they turn away then God would afflict them with painful punishment in this world and the next; and none will they have on the face of the earth to protect or help them."
ENAA1310,QA1310,ENAA,1310,"Some of them made a covenant with God: ""If You give us in Your bounty we shall give alms and be upright."""
ENAA1311,QA1311,ENAA,1311,"But when He gave them of His bounty they became greedy, and then turned away."
ENAA1312,QA1312,ENAA,1312,"As a consequence of breaking their promise made to God, and telling lies, he filled their hearts with hypocrisy which will last till the day they come before Him."
ENAA1313,QA1313,ENAA,1313,"Have they not realised that God knows their secrets and their confidential talk, and that God has the knowledge of unknown things?"
ENAA1314,QA1314,ENAA,1314,"They who defame those of the believers who give alms willingly, and deride those who have nothing besides what they earn by their labour (to give in charity), will be derided by God, and will suffer painful punishment."
ENAA1315,QA1315,ENAA,1315,"Whether you plead forgiveness for them or not, God will not forgive them, even though you plead seventy times, for they disbelieved in God and His Apostle; and God does not show transgressors the way."
ENAA1316,QA1316,ENAA,1316,"Those who were left behind rejoiced that they stayed at home against the wishes of God's Apostle, being averse to fighting in the way of God with their wealth and lives, and said: ""Do not go in this heat."" Tell them: ""The heat of Hell is far more intense."" If only they had cared to instruct themselves!"
ENAA1317,QA1317,ENAA,1317,"So let them laugh a little, for weep they will, more as retribution for what they have done."
ENAA1318,QA1318,ENAA,1318,"If you come back to them by (the grace of) God, and they seek your permission to go (to fight), you should tell them: ""You will never go out nor fight the enemy with me any more. You preferred to stay back on the first occasion, so stay at home with those who stay behind."""
ENAA1319,QA1319,ENAA,1319,"Do not invoke blessings on any of them who die, nor stand to pray at their graves, for they disbelieved in God and His Prophet, and died transgressors."
ENAA1320,QA1320,ENAA,1320,"And let not their wealth and children astonish you. God wishes to punish them through these in the world, and their souls will depart in a state of disbelief."
ENAA1321,QA1321,ENAA,1321,"Whenever a Surah is revealed (which says): ""Believe in God and fight along with His Prophet,"" the well-to-do among them ask for leave to stay at home, and say: ""Leave us with those who are left behind."""
ENAA1322,QA1322,ENAA,1322,"They prefer to be with women who (are allowed to) stay at home during war, and their hearts are sealed; so they fail to understand."
ENAA1323,QA1323,ENAA,1323,"But the Prophet and those who have embraced the faith with him, and have fought wealth and soul (in the way of God), are blessed and will be successful."
ENAA1324,QA1324,ENAA,1324,"God has provision for them of gardens with Streams of running water, where they will abide for ever. This will be the supreme triumph."
ENAA1325,QA1325,ENAA,1325,"Some Arabs of the desert came with ready excuses, asking for leave to stay behind. But those who had lied to God and His Prophet stayed at home doing nothing. So the punishment for those who disbelieve among them will be painful."
ENAA1326,QA1326,ENAA,1326,"No blame will attach to the old and the sick, or those without means to spend on good acts, if they stay behind provided they are sincere to God and His Apostle; There is no way to blame those who are doers of good, for God is forgiving and kind."
ENAA1327,QA1327,ENAA,1327,"Nor will they be blamed who came to you for transport, to whom you said: ""I cannot find any means of conveyance for you,"" and they went away in tears, grieving that they lacked the means to spend (on carriage)."
ENAA1328,QA1328,ENAA,1328,"Blame will lie on those who are rich yet ask your leave to stay behind. They prefer to stay with women who stay at home, and God seals their hearts; so they do not understand."
ENAA1329,QA1329,ENAA,1329,"When you come back they will offer excuses to you. Tell them: ""Make no excuses; we do not believe you. God has informed us about you; and God and His Apostle shall watch your conduct. Then you will be brought to Him who knows what is hidden and what is manifest. He will tell you of what you did."""
ENAA1330,QA1330,ENAA,1330,"They will beg you in the name of God, on your return, to forgive them; but you keep away from them: They are scum; their abode is Hell: Requital for what they had done."
ENAA1331,QA1331,ENAA,1331,"They will plead on oath that you accept them. Even if you accept them, remember God does not accept people who are disobedient."
ENAA1332,QA1332,ENAA,1332,"The village Arabs are more obstinate in disbelief and hypocrisy, and impervious to ordinances revealed to His Apostle by God; yet God is aware of everything and is wise."
ENAA1333,QA1333,ENAA,1333,"Some of these rustics take whatever they spend in the way of God as a penalty, and wait for an adverse turn in your fortune. For them will be the adverse change, as God hears all and knows everything."
ENAA1334,QA1334,ENAA,1334,"Yet some Arabs of the desert believe in God and the Last Day, and consider what they spend to be a means of bringing them nearer to God and the blessings of the Prophet. This is certainly a means of achieving nearness (to God), and God will admit them to His mercy, for God is forgiving and kind."
ENAA1335,QA1335,ENAA,1335,"Those among the migrants (from Makkah) and helpers (in Madina) who were the first to believe, and those who followed them in goodness, have been accepted by God and they follow His way. For them He has gardens with streams of running water where they will abide for ever; and that is happiness supreme."
ENAA1336,QA1336,ENAA,1336,"Some of the Arabs of the desert around you are hypocrites, and some of the people of Madina are stubborn in hypocrisy. You are not aware of them; We know them, and will punish them twice, and they will be sent to a harrowing doom."
ENAA1337,QA1337,ENAA,1337,"But there are others who admit their sins of mixing good deeds with evil. It may be that God will accept their repentance, for God is forgiving and kind."
ENAA1338,QA1338,ENAA,1338,"Accept the offerings they make from their wealth in order to cleanse and purify them for progress, and invoke blessings upon them. Your blessings will surely bring them peace, for God hears all and knows everything."
ENAA1339,QA1339,ENAA,1339,"Do they not know that God accepts the repentance of His creatures and receives what they offer in charity, and that He is forgiving and kind?"
ENAA1340,QA1340,ENAA,1340,"Say to them: ""Act. God will see your conduct, and so will His Apostle and the faithful; for you will in the end go back to Him, who knows the unknown and the known, who will tell you of what you were doing."""
ENAA1341,QA1341,ENAA,1341,"There are still some others whose affairs await the dispensation of God. He may punish or pardon them, for God is all-knowing and all-wise."
ENAA1342,QA1342,ENAA,1342,"There are those who built a mosque on opposition and disbelief, and to cause rifts among the faithful, and to serve as an outpost for those who have warred against God and His Apostle before this. Yet they will surely swear: ""We had only meant well."" But God is witness that they are liars."
ENAA1343,QA1343,ENAA,1343,Never set foot in that place. Only a mosque whose foundations have been laid from the very first on godliness is worthy of your visiting it. There you will find men who wish to be purified; and God loves those who are pure.
ENAA1344,QA1344,ENAA,1344,"Is the man who lays the foundations of his sanctum on his allegiance to God and the wish to seek His favour, better, or he who lays the foundations of his building on the edge of a bank eroded by water, which will collapse with him into the fire of Hell? But God does not guide the people who are wilfully unjust."
ENAA1345,QA1345,ENAA,1345,"The edifice they have built will always fill their minds with perturbation (which will not cease) till their hearts are rent to pieces, for God is all-knowing and all-wise."
ENAA1346,QA1346,ENAA,1346,"God has verily bought the souls and possessions of the faithful in exchange for a promise of Paradise. They fight in the cause of God, and kill and are killed. This is a promise incumbent on Him, as in the Torah, so the Gospel and the Qur'an. And who is more true to his promise than God? So rejoice at the bargain you have made with Him; for this will be triumph supreme."
ENAA1347,QA1347,ENAA,1347,"To those who repent and pay homage, give praise and are devout, who kneel in prayer and bow in supplication, who enjoin good deeds and prohibit the bad, and keep to the limits set by God, announce the news of rejoicing to the faithful."
ENAA1348,QA1348,ENAA,1348,"It is not worthy of the Prophet and those who believe to seek forgiveness for those who are idolaters, even though they may be their relatives, after they have come to know that they are destined for Hell."
ENAA1349,QA1349,ENAA,1349,"As for Abraham's prayer for his father, he was fulfilling a promise he had made to him. Yet when it became evident to him that (his father) was an enemy of God, he broke away from him, though Abraham was soft hearted and kind."
ENAA1350,QA1350,ENAA,1350,"God never leads men astray after guiding them, until He makes quite clear to them what they should avoid, for God indeed knows each and everything."
ENAA1351,QA1351,ENAA,1351,Verily God's is the kingdom of the heavens and the earth. He alone is the giver of life and death; and none do you have besides God as friend and helper.
ENAA1352,QA1352,ENAA,1352,"God was kind to the Prophet, the emigrants, and the helpers of the faithful who followed him in the hour of distress. When a section of them were about to lose courage He turned to them in His mercy, for He is compassionate and kind."
ENAA1353,QA1353,ENAA,1353,"He has relented towards the three also (who had refused to go to the battle of the Ditch) whose case was left undecided, and even the earth with all its expanse had become narrow for them, and their lives were confined, and they came to realise there was no refuge for them except in God. So He softened towards them that they may repent; for God surely accepts repentance and is merciful."
ENAA1354,QA1354,ENAA,1354,"O believers, do not stray from the path of God, and be with those who are truthful."
ENAA1355,QA1355,ENAA,1355,"It was not worthy of the people of Madina, and the Arabs of the desert around them, to abandon the Prophet of God, and to care more for themselves than for him; for there is no hardship or thirst or hunger that they know in the service of God, and no place they walk on where walking provokes the unbelievers, and no harm they receive from the enemy, but is put down as a good deed in their favour. Surely God does not let the recompense of those who do good to go waste."
ENAA1356,QA1356,ENAA,1356,"There is not a sum, large or small, that they spend, not a piece of land that they traverse (in the service of God) which is not put down in their favour, so that God could reward them for what they had done."
ENAA1357,QA1357,ENAA,1357,"It is not possible for all believers to go out (to fight). So a part of each section (of the population) should go (to fight) in order that the others may acquire understanding of law and divinity, and warn their companions on return so that they may take heed for themselves."
ENAA1358,QA1358,ENAA,1358,"O believers, fight the unbelievers around you, and let them realise that you are firm: Remember, God is with those who are pious and obedient to Him."
